ID,Dispositivo,Marca,Modelo,Tipo,Componente_Fallido,Error_Especifico,Diagnostico,Severidad,Solucion_Recomendada,Estado,Costo_Estimado_USD,Tiempo_Reparacion_Horas
52,Tablet,Lenovo,Tab P11 Pro,Estándar,Fuente de Poder,"Voltaje de 5V fuera de especificación, USB inestable","Diagnóstico general: Voltaje de 5V fuera de especificación, USB inestable. Se requiere revisión técnica especializada.",Baja,Monitorear voltajes. Considerar reemplazo preventivo.,En diagnóstico,42.87,2.0
53,Computadora,Gigabyte,B550 Vision D,All-in-One,RAM,Pantalla azul MEMORY_MANAGEMENT al usar múltiples aplicaciones,Problema de display detectado. Pantalla azul MEMORY_MANAGEMENT al usar múltiples aplicaciones. Evaluar reemplazo de panel o componentes asociados.,Crítica,Reemplazo inmediato de módulo RAM defectuoso. Verificar compatibilidad con placa madre.,En diagnóstico,62.66,40.7
54,Tablet,Amazon,Fire HD 10,eReader,Puertos,"Puerto Thunderbolt no funciona, controlador dañado","Diagnóstico general: Puerto Thunderbolt no funciona, controlador dañado. Se requiere revisión técnica especializada.",Baja,Usar puerto alternativo. Monitorear funcionamiento del puerto afectado.,Garantía vigente,160.25,3.1
55,Laptop,ASUS,VivoBook 15,Premium,Motherboard,"Power button connector suelto, motherboard no arranca","Diagnóstico: Motherboard defectuosa. Power button connector suelto, motherboard no arranca. Verificar todas las pistas y componentes SMD.",Crítica,Reemplazo de placa madre. Evaluar costo vs equipo nuevo. Rescatar componentes reutilizables.,En diagnóstico,379.75,40.1
56,Computadora,ASUS,ExpertCenter D5,Servidor,Disco Duro/SSD,Error INACCESSIBLE_BOOT_DEVICE al iniciar Windows,Diagnóstico general: Error INACCESSIBLE_BOOT_DEVICE al iniciar Windows. Se requiere revisión técnica especializada.,Alta,Respaldar datos y reemplazar disco. Ejecutar recuperación con herramientas especializadas.,Requiere reemplazo de componente,175.25,16.1
57,Laptop,Samsung,Galaxy Book Go,2 en 1,Disco Duro/SSD,"SSD con vida útil agotada, escrituras fallidas","Diagnóstico general: SSD con vida útil agotada, escrituras fallidas. Se requiere revisión técnica especializada.",Media,Ejecutar CHKDSK y reparación de sectores. Monitorear SMART diariamente.,Reparable,126.75,7.3
58,Tablet,Microsoft,Surface Pro 9,2 en 1,Motherboard,"Filtro de EMI dañado, interferencia en audio/video","Fallo en sistema de audio. Filtro de EMI dañado, interferencia en audio/video. Verificar controlador y hardware.",Baja,Limpieza profunda y rethermal. Verificar conexiones y reseat de componentes.,En diagnóstico,262.92,2.9
59,Tablet,Lenovo,Tab P12 Pro,Económica,BIOS,"BIOS muestra pantalla de error al iniciar, sector de arranque dañado","Fallo en firmware BIOS. BIOS muestra pantalla de error al iniciar, sector de arranque dañado. Se recomienda reemplazo de chip BIOS.",Media,Reset de CMOS y reconfiguración de BIOS. Actualizar a última versión estable.,En diagnóstico,137.76,3.3
60,Computadora,HP,EliteDesk 800 G8,Workstation,Conectividad,"WiFi no enciende, switch físico o función FN dañada","Diagnóstico general: WiFi no enciende, switch físico o función FN dañada. Se requiere revisión técnica especializada.",Crítica,"Reemplazo de módulo WiFi/Bluetooth. Si es integrado, usar adaptador USB.",En diagnóstico,92.82,40.9
61,Computadora,Custom/Genérica,PC Gaming RTX 4070,Torre,Disco Duro/SSD,"Disco con latencia alta, sectores lentos detectados","Diagnóstico general: Disco con latencia alta, sectores lentos detectados. Se requiere revisión técnica especializada.",Crítica,Clonar disco inmediatamente si es posible. Reemplazo urgente de unidad. Recuperación de datos profesional.,Fuera de servicio,205.18,33.9
62,Laptop,Apple,MacBook Air M3,Económica,RAM,Sistema se congela al consumir más del 75% de RAM,Fallo de memoria detectado. Sistema se congela al consumir más del 75% de RAM. Se recomienda reemplazar módulo defectuoso.,Baja,Ejecutar diagnóstico de memoria extendido. Monitorear en próximos días.,Garantía vigente,59.34,2.1
63,Laptop,Apple,MacBook Pro 14 M3,Premium,Ventilación,"Heat pipe dañado, calor no se disipa correctamente","Diagnóstico general: Heat pipe dañado, calor no se disipa correctamente. Se requiere revisión técnica especializada.",Baja,Limpieza preventiva y monitoreo de temperaturas. Ajustar curva de ventilador.,Reparable,74.54,2.0
64,Laptop,Huawei,MateBook 14s,Empresarial,Disco Duro/SSD,"Disco duro externo no monta, controlador USB-SATA fallido","Diagnóstico general: Disco duro externo no monta, controlador USB-SATA fallido. Se requiere revisión técnica especializada.",Baja,Ejecutar optimización de disco. Liberar espacio en SSD para mejorar rendimiento.,Garantía vigente,243.9,1.0
65,Laptop,Samsung,Galaxy Book3 Ultra,Premium,Motherboard,Conector de pantalla dañado en motherboard de laptop,Fallo en placa madre. Conector de pantalla dañado en motherboard de laptop. Evaluar viabilidad de reparación vs reemplazo.,Alta,Reparación especializada de microsoldadura. Reemplazar componentes SMD dañados.,Requiere reemplazo de componente,388.99,22.1
66,Laptop,Huawei,MateBook E Go,Workstation,GPU,GPU no detectada en Administrador de dispositivos,Diagnóstico: Tarjeta gráfica defectuosa. GPU no detectada en Administrador de dispositivos. Testear con FurMark para reproducir fallo.,Media,Reinstalar drivers con DDU. Verificar temperatura y ventilación de GPU.,Reparable,317.9,4.2
67,Tablet,Amazon,Fire HD 10,Gaming,Fuente de Poder,"Olor a quemado desde la fuente, componente quemado","Diagnóstico general: Olor a quemado desde la fuente, componente quemado. Se requiere revisión técnica especializada.",Alta,Reemplazar fuente con certificación adecuada. Verificar potencia necesaria.,En diagnóstico,102.11,9.8
68,Laptop,Lenovo,ThinkPad T14,Workstation,RAM,"RAM sobrecalentada, thermal throttling frecuente","Inestabilidad por RAM defectuosa. RAM sobrecalentada, thermal throttling frecuente. Probar módulos individualmente para aislar el dañado.",Media,Limpiar contactos con alcohol isopropílico. Reubicar módulos en slots diferentes.,En diagnóstico,95.18,1.9
69,Laptop,ASUS,ZenBook 14,Workstation,Teclado,"Tecla Enter no funciona, membrana dañada","Diagnóstico general: Tecla Enter no funciona, membrana dañada. Se requiere revisión técnica especializada.",Baja,Limpiar tecla específica o reemplazar keycap. Verificar configuración de idioma.,En diagnóstico,120.39,2.7
70,Laptop,Dell,Vostro 3520,Gaming,Puertos,"Puerto de carga suelto, conexión intermitente","Diagnóstico general: Puerto de carga suelto, conexión intermitente. Se requiere revisión técnica especializada.",Alta,Reparar soldadura de puerto dañado. Usar adaptador temporal mientras se repara.,En diagnóstico,194.91,6.0
71,Computadora,HP,EliteDesk 800 G8,SFF,Disco Duro/SSD,"Pantalla azul UNMOUNTABLE_BOOT_VOLUME, disco corrupto","Display con defecto. Pantalla azul UNMOUNTABLE_BOOT_VOLUME, disco corrupto. Reemplazo de panel recomendado si costo es viable.",Crítica,Clonar disco inmediatamente si es posible. Reemplazo urgente de unidad. Recuperación de datos profesional.,Requiere reemplazo de componente,67.35,37.1
72,Laptop,Samsung,Galaxy Book3 Ultra,Chromebook,Motherboard,"VRM de motherboard sobrecalentado, throttling severo","Componente de motherboard dañado. VRM de motherboard sobrecalentado, throttling severo. Se requiere microsoldadura especializada.",Alta,Reparación especializada de microsoldadura. Reemplazar componentes SMD dañados.,Requiere reemplazo de componente,258.64,13.1
73,Laptop,Toshiba,Dynabook E10,Empresarial,Disco Duro/SSD,Disco con Bad Blocks en zona crítica del sistema,Diagnóstico general: Disco con Bad Blocks en zona crítica del sistema. Se requiere revisión técnica especializada.,Media,Ejecutar CHKDSK y reparación de sectores. Monitorear SMART diariamente.,Garantía vigente,134.3,6.8
74,Laptop,ASUS,ROG Zephyrus G14,Ultrabook,Sistema Operativo,Sistema operativo no encuentra boot manager,Diagnóstico general: Sistema operativo no encuentra boot manager. Se requiere revisión técnica especializada.,Media,Restaurar sistema a punto anterior. Eliminar software problemático.,En diagnóstico,10.23,7.1
75,Tablet,Xiaomi,Pad 6,Profesional,RAM,"SODIMM RAM con pines dañados, contacto intermitente","Diagnóstico: Memoria RAM con errores. SODIMM RAM con pines dañados, contacto intermitente. Ejecutar MemTest86 para confirmar sector dañado.",Crítica,Reemplazo inmediato de módulo RAM defectuoso. Verificar compatibilidad con placa madre.,Requiere reemplazo de componente,83.27,26.2
76,Laptop,Lenovo,IdeaPad Gaming 3,Premium,Conectividad,"Interferencia WiFi por tarjeta gráfica, antena mal posicionada","Diagnóstico general: Interferencia WiFi por tarjeta gráfica, antena mal posicionada. Se requiere revisión técnica especializada.",Media,Actualizar drivers y firmware. Verificar configuración de red.,Garantía vigente,63.5,7.0
77,Tablet,Xiaomi,Pad 5 Pro 5G,Gaming,Disco Duro/SSD,SMART warning: Reallocated Sector Count excedido,Diagnóstico general: SMART warning: Reallocated Sector Count excedido. Se requiere revisión técnica especializada.,Alta,Respaldar datos y reemplazar disco. Ejecutar recuperación con herramientas especializadas.,Requiere reemplazo de componente,205.92,17.0
78,Computadora,Acer,Predator Orion 3000,Torre,BIOS,BIOS bloqueada con contraseña desconocida,Fallo en firmware BIOS. BIOS bloqueada con contraseña desconocida. Se recomienda reemplazo de chip BIOS.,Alta,Flashear BIOS desde USB con método de recuperación del fabricante. Verificar versión actual.,En diagnóstico,111.96,8.7
79,Laptop,Toshiba,Tecra A50,Empresarial,Puertos,"Puerto Thunderbolt no funciona, controlador dañado","Diagnóstico general: Puerto Thunderbolt no funciona, controlador dañado. Se requiere revisión técnica especializada.",Crítica,Reemplazo de placa de puertos o motherboard. Daño irreparable en múltiples puertos.,Requiere reemplazo de componente,112.19,14.9
80,Laptop,Acer,Aspire 7,Gaming,BIOS,Voltaje de RAM configurado incorrectamente en BIOS,Fallo en firmware BIOS. Voltaje de RAM configurado incorrectamente en BIOS. Se recomienda reemplazo de chip BIOS.,Alta,Flashear BIOS desde USB con método de recuperación del fabricante. Verificar versión actual.,Reparable,30.75,19.3
81,Laptop,MSI,Prestige 14,Económica,RAM,"Fallo en test de memoria Windows, errores detectados","Diagnóstico general: Fallo en test de memoria Windows, errores detectados. Se requiere revisión técnica especializada.",Alta,Reemplazar módulo RAM dañado. Probar con módulo nuevo en slot afectado.,En diagnóstico,56.58,11.3
82,Laptop,Samsung,Galaxy Book3 Ultra,Workstation,GPU,"Pantalla azul VIDEO_TDR_FAILURE, GPU dedicada fallida","Display con defecto. Pantalla azul VIDEO_TDR_FAILURE, GPU dedicada fallida. Reemplazo de panel recomendado si costo es viable.",Media,Reinstalar drivers con DDU. Verificar temperatura y ventilación de GPU.,En diagnóstico,116.79,4.9
83,Laptop,ASUS,ZenBook Pro 16,Económica,Fuente de Poder,"Voltaje inestable en riel de 12V, componentes fallan","Diagnóstico general: Voltaje inestable en riel de 12V, componentes fallan. Se requiere revisión técnica especializada.",Alta,Reemplazar fuente con certificación adecuada. Verificar potencia necesaria.,Requiere reemplazo de componente,37.83,11.1
84,Laptop,Dell,Inspiron 15 3000,Chromebook,RAM,RAM no se inicializa al arrancar en frío,Diagnóstico: Memoria RAM con errores. RAM no se inicializa al arrancar en frío. Ejecutar MemTest86 para confirmar sector dañado.,Baja,Ejecutar diagnóstico de memoria extendido. Monitorear en próximos días.,Reparable,63.39,3.7
85,Tablet,Huawei,MatePad T10,Estándar,Sistema Operativo,"Windows Update en bucle, descarga infinita","Diagnóstico general: Windows Update en bucle, descarga infinita. Se requiere revisión técnica especializada.",Media,Restaurar sistema a punto anterior. Eliminar software problemático.,Reparable,21.1,4.8
